F1,Nov02,Nov09,Nov16,Nov23,Dec01,Dec07,Dec14,Dec21,Dec30,Jan06,Jan11,Jan18,Jan25,Feb01,Feb08,Feb15,Feb22,Feb29,Mar07,Mar14,Mar21,Mar28,Apr04,Apr11,Apr18,Apr25,May02,May09,May16
Pr(EW40),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.000992063,0.00099108,0.00098912,0.00098912,0.000984252,0.000983284,0.000971817
Pr(EW41),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.481086324,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.000992063,0.001984127,0.00099108,0.00098912,0.001978239,0.000984252,0.000983284,0.000971817
Pr(EW42),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.488845781,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.000993049,0.001984127,0.00297619,0.003964321,0.003956479,0.002967359,0.000984252,0.000983284,0.000971817
Pr(EW43),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.001986097,0.004960317,0.007936508,0.004955401,0.004945598,0.005934718,0.001968504,0.000983284,0.000971817
Pr(EW44),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.005958292,0.003968254,0.004960317,0.005946482,0.011869436,0.006923838,0.00492126,0.002949853,0.000971817
Pr(EW45),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.000980392,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.006951341,0.007936508,0.014880952,0.020812686,0.019782394,0.018793274,0.003937008,0.000983284,0.000971817
Pr(EW46),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.002941176,0.000979432,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.015888779,0.015873016,0.02281746,0.029732408,0.043521266,0.043521266,0.026574803,0.015732547,0.000971817
Pr(EW47),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00097371,0.00097561,0.004901961,0.008814887,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.016881827,0.023809524,0.040674603,0.041625372,0.045499505,0.046488625,0.047244094,0.049164209,0.000971817
Pr(EW48),0.000972763,0.000969932,0.000972763,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.00194742,0.003902439,0.017647059,0.021547502,0.000976563,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.000971817,0.000969932,0.034756703,0.018849206,0.041666667,0.062438057,0.069238378,0.081107814,0.095472441,0.068829892,0.000971817
Pr(EW49),0.010700389,0.000969932,0.001945525,0.000969932,0.000969932,0.000969932,0.000969932,0.000969932,0.021421616,0.030243902,0.050980392,0.062683643,0.02734375,0.000971817,0.000969932,0.000971817,0.000969932,0.000969932,0.027210884,0.000969932,0.041708044,0.03968254,0.050595238,0.077304262,0.111770524,0.090009891,0.144685039,0.1179941,0.125364432
